Region,Area_km2
Macedonia_Thrace,14774.3213573046
Valencia,13404.53528437236
Corse_du_Sud,13361.336035407043
Sardegna,5012.382239743238
Beiras_Centro,3862.2695935673823
Split_Dalmatia,2957.5112713271487
Potenza,1792.2208770986315
Nicosia,978.8133539989719
