Country,Region,Pop2010,Pop2020,Change,Class
Croatia,Split_Dalmatia,442805.42273629486,422315.20549322467,-20490.21724307019,Decline
Cyprus,Nicosia,433539.8893997855,472798.7805512697,39258.89115148422,High Growth
France,Corse_du_Sud,4806436.788794864,4902289.213633415,95852.42483855132,High Growth
Greece,Macedonia_Thrace,2514251.7897034762,2420037.961996821,-94213.82770665502,Decline
Italy,Potenza,383313.7212463225,344018.1304248339,-39295.590821488586,Decline
Italy,Sardegna,1637737.7803161393,1541295.9023648845,-96441.87795125484,Decline
Portugal,Beiras_Centro,1176728.256073642,1039591.1479390248,-137137.1081346172,Decline
Spain,Valencia,4918296.83725946,4987471.557267843,69174.72000838257,High Growth
